runnumber,run_time,number_of_events,number_of_tracks,number_of_tracks_PIX,number_of_tracks_FPIX,number_of_tracks_BPIX,number_of_tracks_TID,number_of_tracks_TIDM,number_of_tracks_TIDP,number_of_tracks_TIB,number_of_tracks_TEC,number_of_tracks_TECP,number_of_tracks_TECM,number_of_tracks_TOB,number_of_tracks_TID_1,number_of_tracks_TID_1_plus,number_of_tracks_TID_1_minus,number_of_tracks_TID_2,number_of_tracks_TID_2_plus,number_of_tracks_TID_2_minus,number_of_tracks_TID_3,number_of_tracks_TID_3_plus,number_of_tracks_TID_3_minus,number_of_tracks_TEC_1,number_of_tracks_TEC_1_plus,number_of_tracks_TEC_1_minus,number_of_tracks_TEC_2,number_of_tracks_TEC_2_plus,number_of_tracks_TEC_2_minus,number_of_tracks_TEC_3,number_of_tracks_TEC_3_plus,number_of_tracks_TEC_3_minus,number_of_tracks_TEC_4,number_of_tracks_TEC_4_plus,number_of_tracks_TEC_4_minus,number_of_tracks_TEC_5,number_of_tracks_TEC_5_plus,number_of_tracks_TEC_5_minus,number_of_tracks_TEC_6,number_of_tracks_TEC_6_plus,number_of_tracks_TEC_6_minus,number_of_tracks_TEC_7,number_of_tracks_TEC_7_plus,number_of_tracks_TEC_7_minus,number_of_tracks_TEC_8,number_of_tracks_TEC_8_plus,number_of_tracks_TEC_8_minus,number_of_tracks_TEC_9,number_of_tracks_TEC_9_plus,number_of_tracks_TEC_9_minus
344259,192    ,884,440,28,10,19,62,30,32,215,82,43,39,413,32,18,14,18,10,8,28,14,14,63,32,31,65,33,32,59,32,27,48,24,24,39,23,16,30,16,14,22,11,11,17,7,10,12,4,8
344260,1477   ,5438,2826,254,76,191,432,207,225,1359,528,264,266,2703,211,101,110,169,85,84,169,94,75,417,205,214,374,191,183,335,161,175,274,119,155,227,114,113,175,88,87,128,62,66,84,45,39,53,27,26
344265,12     ,74,47,8,2,7,10,3,7,22,10,8,2,46,7,5,2,2,1,1,3,1,2,8,6,2,6,4,2,5,3,2,4,3,1,4,3,1,4,3,1,3,3,0,2,2,0,3,3,0
344266,8906   ,24925,13134,1253,344,971,1877,841,1038,6479,2399,1222,1183,12579,972,532,441,664,364,301,680,356,326,1878,949,935,1647,833,817,1468,704,768,1199,561,642,1027,473,557,778,355,427,547,249,300,399,171,229,231,97,136
344186,6240   ,4643,2383,219,69,165,341,151,190,1205,434,223,212,2284,169,89,80,120,71,49,117,71,46,354,181,174,300,149,151,267,130,138,208,97,112,181,84,98,154,71,84,101,47,54,65,26,39,39,17,22
344188,3009   ,2554,1301,140,37,106,194,96,98,635,244,121,124,1252,87,40,47,65,40,25,85,44,41,198,96,103,160,80,81,157,82,75,133,69,64,102,54,48,84,45,39,54,30,24,35,18,17,22,11,11
344260,497    ,968,484,37,13,26,75,39,36,217,83,36,48,466,32,18,14,27,11,16,29,11,18,70,28,43,63,26,38,56,19,37,39,14,25,35,14,21,24,13,11,22,10,12,14,6,8,7,3,4
344266,21238  ,62386,32791,3132,865,2401,4729,2128,2606,16149,5894,3006,2912,31397,2331,1211,1123,1570,881,691,1770,988,784,4704,2412,2315,4100,2061,2055,3616,1764,1864,2967,1421,1555,2563,1214,1355,1999,947,1058,1333,637,701,930,432,504,553,253,305
344001,45501  ,17787,10582,887,246,678,1464,683,787,5104,1999,1032,984,10003,762,398,369,515,292,225,534,290,245,1570,813,771,1410,712,709,1288,640,657,1101,553,558,964,475,497,769,390,386,571,284,292,408,195,218,260,125,140
344064,28179  ,2778,1623,109,28,84,225,100,125,756,325,175,153,1523,118,59,59,79,41,38,86,50,36,252,132,123,241,122,120,208,107,102,181,94,88,146,87,60,121,65,57,91,45,46,71,38,33,48,27,21
344068,22321  ,1695,974,83,15,71,139,60,79,477,187,96,92,927,70,40,30,51,34,17,54,35,19,152,79,74,130,69,62,118,61,57,97,49,48,73,33,40,60,28,32,54,24,30,38,17,21,23,13,10
344128,2407   ,380,162,6,3,3,53,25,28,47,106,56,50,151,24,12,12,18,9,9,30,17,13,91,49,42,86,47,39,75,40,35,64,32,32,61,33,28,38,23,15,21,12,9,9,6,3,5,3,2
344134,55102  ,232177,121753,11311,3047,8742,17531,7778,9762,60265,22384,11349,11109,116342,8739,4719,4025,6054,3302,2757,6555,3702,2860,17887,9061,8894,15767,7827,7981,13843,6717,7156,11222,5313,5928,9832,4638,5211,7584,3558,4043,5220,2422,2814,3475,1601,1882,1986,924,1071
343936,47     ,228,132,10,2,9,14,6,8,64,25,15,10,126,7,2,5,4,3,1,5,4,1,20,11,9,13,9,4,13,8,5,16,10,6,15,8,7,14,9,5,7,3,4,4,2,2,3,2,1
344001,47676  ,190921,112902,9872,2665,7607,15616,7257,8396,54344,21439,10742,10899,106526,7893,4062,3862,5535,2950,2606,5856,3221,2653,16773,8409,8543,15181,7543,7793,13830,6633,7335,11555,5535,6151,10299,4874,5533,8258,3904,4442,5993,2846,3222,4356,2083,2329,2610,1241,1404
344064,28179  ,926,559,41,9,34,87,39,48,257,112,59,53,523,40,23,17,32,16,16,32,18,14,89,46,43,88,47,41,75,39,36,54,28,26,52,27,25,40,18,22,32,15,17,24,10,14,15,4,11
344068,30867  ,1099,652,50,16,34,84,40,44,288,130,65,67,616,41,19,22,33,18,15,39,20,19,104,53,53,97,42,57,84,40,45,71,38,33,64,34,30,54,31,23,44,23,21,25,15,10,14,10,4
344124,850    ,16,11,0,0,0,4,4,0,5,7,2,5,10,2,0,2,3,0,3,3,0,3,7,2,5,6,2,4,5,2,3,4,2,2,3,1,2,4,2,2,3,2,1,2,2,0,2,1,1
344128,1204   ,197,91,3,2,1,25,12,13,28,63,30,33,85,12,6,6,4,2,2,14,7,7,46,23,23,48,21,27,45,19,26,37,17,20,34,14,20,23,10,13,15,6,9,7,2,5,3,1,2
344134,692    ,1503,799,85,26,64,106,47,59,374,146,74,72,755,48,28,20,34,23,11,41,21,20,120,57,63,104,54,50,91,49,42,74,42,32,64,35,29,50,30,20,37,23,14,31,13,18,23,10,13
344520,79     ,324,178,0,0,0,25,11,14,101,11,5,6,175,18,11,7,4,1,3,6,5,1,10,5,5,6,3,3,4,2,2,4,2,2,4,1,3,3,0,3,2,0,2,1,0,1,1,0,1
344558,95     ,367,207,30,5,25,18,7,11,105,14,7,7,203,11,7,4,5,4,1,5,2,3,12,6,6,10,4,6,7,5,2,5,2,3,5,2,3,4,1,3,3,0,3,3,0,3,0,0,0
344565,40     ,149,80,7,1,6,6,1,5,45,6,2,4,79,4,3,1,1,0,1,3,2,1,5,2,3,4,0,4,4,0,4,1,0,1,2,0,2,1,0,1,1,0,1,1,0,1,1,0,1
344566,32127  ,101695,55707,5704,1373,4524,6272,2774,3505,29471,4925,2383,2558,54095,3218,1681,1540,1965,1122,845,1872,1109,769,3862,1929,1949,3151,1442,1723,2527,1063,1478,1967,807,1173,1769,712,1070,1428,592,847,1002,428,585,697,308,397,380,164,223
344567,1456   ,4872,2651,0,0,0,283,118,165,1406,212,111,101,2595,136,67,69,102,65,37,84,55,29,178,93,85,133,67,66,87,44,43,65,29,36,55,23,32,48,20,28,35,18,17,19,12,7,8,4,4
344568,3545   ,11965,6567,0,0,0,767,362,405,3483,584,304,284,6399,381,175,206,262,138,124,220,131,89,468,248,223,374,194,184,275,119,159,226,100,128,197,81,118,163,68,97,110,44,68,72,32,41,42,19,23
344606,605    ,1980,1074,0,0,0,119,60,59,561,88,46,42,1045,64,28,36,35,20,15,31,17,14,69,37,32,51,21,30,43,18,25,29,11,18,27,11,16,22,11,11,16,7,9,10,4,6,5,2,3
344607,1327   ,4388,2355,0,0,0,265,111,154,1219,192,96,97,2289,136,71,65,92,61,31,77,45,32,160,82,78,133,59,75,102,41,62,77,34,43,70,28,42,50,25,25,33,19,14,21,11,10,11,5,6
344617,97     ,355,217,0,0,0,26,13,13,113,17,7,10,210,11,5,6,10,3,7,7,6,1,12,5,7,8,4,4,11,5,6,8,3,5,6,2,4,5,2,3,1,1,0,1,0,1,1,0,1
344618,762    ,2570,1553,0,0,0,174,85,89,787,151,70,81,1495,91,44,47,51,28,23,51,28,23,122,59,63,105,49,56,84,34,50,65,28,37,55,18,37,47,17,30,33,12,21,19,6,13,11,4,7
344621,2907   ,9704,5891,0,0,0,657,320,338,3101,564,262,303,5678,339,158,182,217,117,101,192,107,86,445,202,244,372,169,204,304,128,177,247,105,143,225,93,133,183,75,109,125,45,80,87,33,54,51,21,31
344625,2056   ,35,22,0,0,0,6,1,5,8,13,7,7,22,3,3,0,1,1,0,3,2,1,12,6,7,9,4,5,9,5,4,6,4,2,6,4,2,5,4,1,3,2,1,2,1,1,2,1,1
